op_type,type_occurrences,execution_frequency(per-step),total_compute_time,avg_time(ms),percent
SparseSoftmaxCrossEntropyWithLogits,3750,2,616.048,0.164279,0.0167827
MaxPoolGrad,3750,2,4545.2,1.21205,0.123823
ApplyMomentum,15000,8,440.84,0.0293893,0.0120096
Conv2DBackpropFilter,3750,2,7532.12,2.00857,0.205194
MaxPool,3750,2,7819.07,2.08508,0.213011
Conv2D,3750,2,6847.45,1.82599,0.186541
ReluGrad,7500,4,567.572,0.0756763,0.0154621
MatMul,16875,9,2371.46,0.140531,0.0646046
BiasAdd,5625,3,28.5536,0.0050762,0.000777872
Reshape,3750,2,27.8067,0.00741511,0.000757523
BiasAddGrad,5625,3,21.0142,0.00373586,0.000572479
ReLU,7500,4,2310.76,0.308101,0.0629508
Conv2DBackpropInput,1875,1,3579.46,1.90905,0.0975135
